ux_l,ux_r,uy_t,uy_b
 1.3697457375411749e-08, 2.7242780901707485e-08, 3.1336158431301295e-07, 3.2695883029239837e-07
 1.2601925347207123e-08, 2.5074407560699055e-08, 3.0083446990811274e-07, 3.1336158431301295e-07
 1.163335991675592e-08, 2.3155323656776594e-08, 2.892606312648409e-07, 3.0083446990811274e-07
 1.0772103015699787e-08, 2.144848359420028e-08, 2.785378292833314e-07, 2.892606312648409e-07
 1.000333846893888e-08, 1.9923867746459704e-08, 2.685750083764088e-07, 2.785378292833314e-07
 9.314840401555434e-09, 1.855685302444397e-08, 2.592907228094004e-07, 2.685750083764088e-07
 8.694904178575194e-09, 1.7324824219303945e-08, 2.5061829322910325e-07, 2.592907228094004e-07
 8.134992952933101e-09, 1.6212887622928988e-08, 2.4250475215571175e-07, 2.5061829322910325e-07
 7.627779984514128e-09, 1.5204257270659082e-08, 2.3489499347662516e-07, 2.4250475215571175e-07
 7.166855402252697e-09, 1.4287820178875682e-08, 2.2774406481063983e-07, 2.3489499347662516e-07
 6.746850487063928e-09, 1.3451161331611183e-08, 2.2101117591023113e-07, 2.2774406481063983e-07
 6.362680685465282e-09, 1.2686957455273793e-08, 2.146615033753235e-07, 2.2101117591023113e-07
 6.010356542386948e-09, 1.1986470560861435e-08, 2.086665232075872e-07, 2.146615033753235e-07
 5.686454619915099e-09, 1.134351236350068e-08, 2.0299124725810742e-07, 2.086665232075872e-07
 5.388775433709985e-09, 1.0750442637091157e-08, 1.976056180938758e-07, 2.0299124725810742e-07
 5.11410098830668e-09, 1.0203966417543792e-08, 1.9249295562806468e-07, 1.976056180938758e-07
 4.860399681852022e-09, 9.697900014858417e-09, 1.8763469127267962e-07, 1.9249295562806468e-07
 4.625004366373951e-09, 9.229720274567904e-09, 1.830078402381026e-07, 1.8763469127267962e-07
 4.407367488645351e-09, 8.793914820979153e-09, 1.7859648272873108e-07, 1.830078402381026e-07
 4.204619668921688e-09, 8.389940940157728e-09, 1.743922051991561e-07, 1.7859648272873108e-07
 4.016051563563665e-09, 8.014021380483322e-09, 1.7038031389814023e-07, 1.743922051991561e-07
 3.839903165756193e-09, 7.664459609485819e-09, 1.665448049737171e-07, 1.7038031389814023e-07
 3.676098967889487e-09, 7.337664673922967e-09, 1.6287246500048196e-07, 1.665448049737171e-07
 3.5231071662289823e-09, 7.033214603259959e-09, 1.5935679583979665e-07, 1.6287246500048196e-07
 3.379458815151915e-09, 6.749543376103073e-09, 1.559875917613574e-07, 1.5935679583979665e-07
 3.2465356776766404e-09, 6.482719454624723e-09, 1.527580294001559e-07, 1.559875917613574e-07
 3.1212460402181866e-09, 6.233969936627187e-09, 1.4965428286611391e-07, 1.527580294001559e-07
 3.0035283368075315e-09, 5.999767093080081e-09, 1.466685532319263e-07, 1.4965428286611391e-07
 2.8933636584820204e-09, 5.781425427859266e-09, 1.4380251981256745e-07, 1.466685532319263e-07
 2.790463046691095e-09, 5.5746095742361925e-09, 1.410451579563235e-07, 1.4380251981256745e-07
 2.693089207848737e-09, 5.3852529291180135e-09, 1.3839062230510036e-07, 1.410451579563235e-07
 2.603773187254043e-09, 5.203493696072877e-09, 1.3582897698010715e-07, 1.3839062230510036e-07
 2.5181644150796098e-09, 5.037857055635961e-09, 1.3336448580852184e-07, 1.3582897698010715e-07
 2.4401737286278444e-09, 4.876147455074651e-09, 1.3098609289886747e-07, 1.3336448580852184e-07
 2.3635801593889217e-09, 4.725484738870584e-09, 1.2869379519875824e-07, 1.3098609289886747e-07
 2.2905130803654743e-09, 4.5743818266969294e-09, 1.2647345271505092e-07, 1.2869379519875824e-07
 2.216839594883901e-09, 4.421532215974665e-09, 1.243155393798885e-07, 1.2647345271505092e-07
 2.136886166615689e-09, 4.2732878825354756e-09, 1.2222994552476938e-07, 1.243155393798885e-07
 2.0622619952310218e-09, 4.117178423703974e-09, 1.2019857878847545e-07, 1.2222994552476938e-07
 1.9823999258590234e-09, 3.977738977599749e-09, 1.182314861685745e-07, 1.2019857878847545e-07
 1.9147145817301207e-09, 3.845392194211085e-09, 1.1631373577525832e-07, 1.182314861685745e-07
